epoch,total,pde,terminal,left_bc,right_bc,exercise
23,40262.44921875,11.454988479614258,594.8324584960938,2904.019775390625,181.55191040039062,344.6950378417969
24,37479.3828125,12.466946601867676,565.8050537109375,2679.141845703125,189.49143981933594,312.2532653808594
25,34822.60546875,13.494379997253418,540.0328979492188,2460.4384765625,198.6225128173828,281.81707763671875
26,32295.3125,14.529230117797852,517.7424926757812,2249.235595703125,207.93353271484375,253.16685485839844
27,29880.111328125,15.588568687438965,499.13043212890625,2045.015625,216.3670654296875,225.93905639648438
28,27572.98828125,16.66946029663086,484.4778747558594,1848.041015625,223.0181121826172,200.09495544433594
29,25380.546875,17.74565315246582,473.9080810546875,1659.366943359375,227.32362365722656,175.68141174316406
30,23321.013671875,18.826936721801758,466.9212951660156,1481.099609375,229.18397521972656,153.0138702392578
31,21392.7265625,19.903169631958008,462.9479064941406,1313.3197021484375,228.78390502929688,132.2308807373047
32,19598.734375,20.95827865600586,461.2511291503906,1156.6531982421875,226.4293975830078,113.4437026977539
33,17939.31640625,21.993003845214844,460.9002685546875,1011.6532592773438,222.44126892089844,96.73746490478516
34,16410.75,22.984153747558594,460.83721923828125,878.6970825195312,217.1022491455078,82.13999938964844
35,15007.8837890625,23.932479858398438,460.00775146484375,758.0956420898438,210.66336059570312,69.62844848632812
36,13723.35546875,24.82004737854004,457.6051940917969,649.7626342773438,203.40895080566406,59.0767936706543
37,12548.4072265625,25.6403865814209,453.1388244628906,553.1434936523438,195.68739318847656,50.306976318359375
38,11476.1533203125,26.385705947875977,446.2721862792969,467.6776123046875,187.8941650390625,43.13282012939453
39,10501.828125,27.057207107543945,437.0484313964844,392.54193115234375,180.53561401367188,37.35121536254883
40,9626.875,27.620277404785156,425.5046691894531,327.5600280761719,174.0550994873047,32.80569839477539
41,8848.576171875,28.09507179260254,412.14453125,271.7748107910156,168.86785888671875,29.260902404785156
42,8168.4404296875,28.471683502197266,397.5794372558594,224.85906982421875,165.05838012695312,26.500019073486328
43,7567.892578125,28.78845977783203,382.5936584472656,184.82147216796875,162.20542907714844,24.289825439453125
44,7037.6875,28.98779296875,367.7592468261719,151.11424255371094,159.54434204101562,22.45216178894043
45,6562.58447265625,29.1168212890625,353.5136413574219,122.78215789794922,156.24795532226562,20.802997589111328
46,6132.8935546875,29.18939971923828,339.91998291015625,99.0857162475586,152.12611389160156,19.23863983154297
47,5740.548828125,29.2247371673584,326.8011779785156,79.56352233886719,147.05889892578125,17.70878791809082
48,5379.89013671875,29.179302215576172,313.9944152832031,63.713191986083984,141.1572723388672,16.206222534179688
49,5045.24609375,29.097082138061523,301.10400390625,51.02576446533203,134.7183837890625,14.766763687133789
50,4731.8251953125,28.935218811035156,287.8036193847656,41.058712005615234,127.98558807373047,13.441041946411133
51,4435.4833984375,28.708581924438477,273.7819519042969,33.38212966918945,121.2397232055664,12.273704528808594
52,4152.19580078125,28.424955368041992,258.8076477050781,27.593202590942383,114.68346405029297,11.292760848999023
53,3879.231201171875,28.109325408935547,242.8668975830078,23.32643699645996,108.41609954833984,10.502765655517578
54,3615.01318359375,27.739084243774414,226.0950469970703,20.27583122253418,102.46945190429688,9.8870849609375
55,3360.665771484375,27.341537475585938,208.9176788330078,18.1826171875,96.82115936279297,9.410969734191895
56,3116.890380859375,26.909347534179688,191.76234436035156,16.80489730834961,91.40342712402344,9.027451515197754
57,2885.028076171875,26.45354461669922,175.09078979492188,15.972251892089844,86.10965728759766,8.684730529785156
58,2666.583740234375,25.99366569519043,159.2747802734375,15.623443603515625,80.82665252685547,8.334129333496094
59,2462.96923828125,25.544384002685547,144.61834716796875,15.735074996948242,75.45207977294922,7.936969757080078
60,2273.31689453125,25.11467170715332,131.31639099121094,16.07606315612793,69.95238494873047,7.475390434265137
61,2097.489013671875,24.696937561035156,119.38260650634766,16.555675506591797,64.38291931152344,6.9580078125
62,1935.4066162109375,24.26339340209961,108.69972229003906,17.1280460357666,58.87348937988281,6.413074970245361
63,1787.338623046875,23.852153778076172,99.12956237792969,17.75616455078125,53.583473205566406,5.879438400268555
64,1653.3408203125,23.468505859375,90.47669982910156,18.458120346069336,48.6576042175293,5.394806861877441
